timestamp,pod,cpu_millicores
1772360159,websocket-server-5f4f67c6f4-z5ftb,55
1772360164,websocket-loadgen-4kcbz,26
1772360164,websocket-server-5f4f67c6f4-45fb2,102
1772360164,websocket-server-5f4f67c6f4-65l82,101
1772360164,websocket-server-5f4f67c6f4-7w5zm,71
1772360164,websocket-server-5f4f67c6f4-87z6g,115
1772360164,websocket-server-5f4f67c6f4-88jgf,62
1772360164,websocket-server-5f4f67c6f4-8g2fl,122
1772360164,websocket-server-5f4f67c6f4-96fbm,103
1772360164,websocket-server-5f4f67c6f4-dgcgd,118
1772360164,websocket-server-5f4f67c6f4-hd5jb,119
1772360164,websocket-server-5f4f67c6f4-k82hd,54
1772360164,websocket-server-5f4f67c6f4-kfn6d,106
1772360164,websocket-server-5f4f67c6f4-vrqjr,32
1772360164,websocket-server-5f4f67c6f4-xhx94,64
1772360164,websocket-server-5f4f67c6f4-xzbwh,67
1772360164,websocket-server-5f4f67c6f4-z5ftb,55
1772360169,websocket-loadgen-4kcbz,31
1772360169,websocket-server-5f4f67c6f4-45fb2,98
1772360169,websocket-server-5f4f67c6f4-65l82,78
1772360169,websocket-server-5f4f67c6f4-7w5zm,111
1772360169,websocket-server-5f4f67c6f4-87z6g,74
1772360169,websocket-server-5f4f67c6f4-88jgf,62
1772360169,websocket-server-5f4f67c6f4-8g2fl,72
1772360169,websocket-server-5f4f67c6f4-96fbm,78
1772360169,websocket-server-5f4f67c6f4-dgcgd,83
1772360169,websocket-server-5f4f67c6f4-hd5jb,96
1772360169,websocket-server-5f4f67c6f4-k82hd,109
1772360169,websocket-server-5f4f67c6f4-kfn6d,89
1772360169,websocket-server-5f4f67c6f4-vrqjr,92
1772360169,websocket-server-5f4f67c6f4-xhx94,89
1772360169,websocket-server-5f4f67c6f4-xzbwh,100
1772360169,websocket-server-5f4f67c6f4-z5ftb,71
1772360175,websocket-loadgen-4kcbz,31
1772360175,websocket-server-5f4f67c6f4-45fb2,98
1772360175,websocket-server-5f4f67c6f4-65l82,78
1772360175,websocket-server-5f4f67c6f4-7w5zm,111
1772360175,websocket-server-5f4f67c6f4-87z6g,74
1772360175,websocket-server-5f4f67c6f4-88jgf,62
1772360175,websocket-server-5f4f67c6f4-8g2fl,72
1772360175,websocket-server-5f4f67c6f4-96fbm,78
1772360175,websocket-server-5f4f67c6f4-dgcgd,83
1772360175,websocket-server-5f4f67c6f4-hd5jb,96
1772360175,websocket-server-5f4f67c6f4-k82hd,109
1772360175,websocket-server-5f4f67c6f4-kfn6d,89
1772360175,websocket-server-5f4f67c6f4-vrqjr,92
1772360175,websocket-server-5f4f67c6f4-xhx94,89
1772360175,websocket-server-5f4f67c6f4-xzbwh,100
1772360175,websocket-server-5f4f67c6f4-z5ftb,71
1772360180,websocket-loadgen-4kcbz,31
1772360180,websocket-server-5f4f67c6f4-45fb2,98
1772360180,websocket-server-5f4f67c6f4-65l82,78
1772360180,websocket-server-5f4f67c6f4-7w5zm,111
1772360180,websocket-server-5f4f67c6f4-87z6g,74
1772360180,websocket-server-5f4f67c6f4-88jgf,62
1772360180,websocket-server-5f4f67c6f4-8g2fl,72
1772360180,websocket-server-5f4f67c6f4-96fbm,78
1772360180,websocket-server-5f4f67c6f4-dgcgd,83
1772360180,websocket-server-5f4f67c6f4-hd5jb,96
1772360180,websocket-server-5f4f67c6f4-k82hd,109
1772360180,websocket-server-5f4f67c6f4-kfn6d,89
