LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
26m         Normal    Pulled                         pod/cpu-app-7644f97777-c67cn      Successfully pulled image "polinux/stress" in 1.553s (3.577s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-xpcm5      Successfully pulled image "polinux/stress" in 1.616s (4.571s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-g6d92      Successfully pulled image "polinux/stress" in 1.557s (3.463s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-r9966      Successfully pulled image "polinux/stress" in 1.523s (4.982s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-579bw      Successfully pulled image "polinux/stress" in 1.564s (4.138s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-bqhw2      Successfully pulled image "polinux/stress" in 1.535s (5.669s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-x9nl4      Successfully pulled image "polinux/stress" in 1.468s (5.036s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-vfw22      Successfully pulled image "polinux/stress" in 1.528s (6.491s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-c8k8p      Successfully pulled image "polinux/stress" in 1.492s (7.149s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-rr7r9      Successfully pulled image "polinux/stress" in 1.565s (6.596s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-ngmnt      Successfully pulled image "polinux/stress" in 1.635s (1.635s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-sfzkn      Successfully pulled image "polinux/stress" in 1.949s (2.586s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-w2m4m      Successfully pulled image "polinux/stress" in 1.942s (1.942s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-n42xv      Successfully pulled image "polinux/stress" in 1.752s (1.752s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-kdp48      Successfully pulled image "polinux/stress" in 1.507s (2.266s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-zzsjp      Successfully pulled image "polinux/stress" in 1.512s (3.454s including waiting). Image size: 4041495 bytes.
25m         Normal    Pulled                         pod/cpu-app-7644f97777-7mwm6      Successfully pulled image "polinux/stress" in 1.662s (1.662s including waiting). Image size: 4041495 bytes.
25m         Normal    Pulled                         pod/cpu-app-7644f97777-cgh4r      Successfully pulled image "polinux/stress" in 1.691s (1.691s including waiting). Image size: 4041495 bytes.
25m         Normal    Pulled                         pod/cpu-app-7644f97777-lrjr7      Successfully pulled image "polinux/stress" in 1.446s (1.446s including waiting). Image size: 4041495 bytes.
25m         Normal    Pulled                         pod/cpu-app-7644f97777-6gkxz      Successfully pulled image "polinux/stress" in 1.559s (1.559s including waiting). Image size: 4041495 bytes.
22m         Normal    Pulled                         pod/cpu-app-7644f97777-r9966      Successfully pulled image "polinux/stress" in 1.543s (1.543s including waiting). Image size: 4041495 bytes.
22m         Normal    Pulled                         pod/cpu-app-7644f97777-c67cn      Successfully pulled image "polinux/stress" in 1.977s (1.977s including waiting). Image size: 4041495 bytes.
22m         Normal    Pulled                         pod/cpu-app-7644f97777-xpcm5      Successfully pulled image "polinux/stress" in 1.466s (1.466s including waiting). Image size: 4041495 bytes.
22m         Normal    Pulled                         pod/cpu-app-7644f97777-rr7r9      Successfully pulled image "polinux/stress" in 1.501s (1.967s including waiting). Image size: 4041495 bytes.
22m         Normal    Pulled                         pod/cpu-app-7644f97777-vfw22      Successfully pulled image "polinux/stress" in 1.376s (1.376s including waiting). Image size: 4041495 bytes.
22m         Normal    Pulled                         pod/cpu-app-7644f97777-bqhw2      Successfully pulled image "polinux/stress" in 1.517s (2.497s including waiting). Image size: 4041495 bytes.
